time;quest_number;quest_value;bonus;pitty_points;glufs;bug;lemur;snys
2025-07-21 12:16:51;0;0;0;0;0;0;0;0
2025-07-21 12:16:58;0;0;0;0;0;0;0;0
2025-07-21 12:17:14;0;0;0;0;100;50;150;250
2025-07-21 13:02:23;13;5;2;0;7;0;0;0
2025-07-21 13:02:27;13;5;2;0;0;0;0;7
2025-07-21 13:02:30;13;5;2;0;0;7;0;0
2025-07-21 13:02:36;13;5;2;0;0;0;7;0
2025-07-21 13:04:17;14;5;2;0;7;0;0;0
2025-07-21 13:04:20;14;5;2;0;0;0;7;0
2025-07-21 13:10:13;6;1;21;0;0;0;0;22
2025-07-21 13:14:49;10;5;2;0;0;0;7;0
2025-07-21 15:03:53;0;0;0;0;100;100;100;100
2025-07-21 15:06:46;0;0;0;0;100;100;100;100
